iter	Passed	Remaining
799	9815496	4907748
800	9827828	4895510
801	9840065	4883224
802	9852273	4870924
803	9864581	4858674
804	9876815	4846387
805	9889145	4834148
806	9901438	4821890
807	9913586	4809561
808	9925958	4797342
809	9938124	4785022
810	9950417	4772764
811	9962556	4760433
812	9974831	4748166
813	9986926	4735815
814	9999044	4723474
815	10011414	4711253
816	10023588	4698940
817	10035920	4686701
818	10048304	4674486
819	10060589	4662224
820	10072814	4649934
821	10085071	4637660
822	10097270	4625359
823	10109422	4613037
824	10121570	4600713
825	10133867	4588457
826	10146239	4576236
827	10158400	4563919
828	10170531	4551588
829	10182834	4539336
830	10194753	4526912
831	10207156	4514703
832	10219273	4502369
833	10231415	4490045
834	10243549	4477719
835	10255930	4465500
836	10268220	4453242
837	10280521	4440988
838	10292842	4428743
839	10305285	4416550
840	10317545	4404279
841	10329795	4392003
842	10342152	4379772
843	10354428	4367507
844	10366697	4355239
845	10378962	4342970
846	10391236	4330704
847	10403164	4318294
848	10415430	4306026
849	10427312	4293599
850	10439501	4281299
851	10451701	4269004
852	10463881	4256701
853	10476191	4244452
854	10488346	4232139
855	10500818	4219955
856	10513165	4207719
857	10525449	4195459
858	10537760	4183208
859	10549912	4170895
860	10561882	4158511
861	10574150	4146244
862	10586322	4133940
863	10598518	4121646
864	10610709	4109349
865	10623105	4097132
866	10635500	4084915
867	10647562	4072569
868	10659806	4060294
869	10672196	4048074
870	10684502	4035822
871	10696764	4023553
872	10709073	4011302
873	10721337	3999034
874	10733565	3986753
875	10745933	3974523
876	10758081	3962212
877	10770350	3949946
878	10782472	3937626
879	10794386	3925231
880	10806773	3913008
881	10819038	3900741
882	10831210	3888441
883	10843386	3876142
884	10855741	3863907
885	10868000	3851639
886	10880324	3839393
887	10892487	3827090
888	10904762	3814826
889	10916906	3802517
890	10929094	3790224
891	10941491	3778003
892	10953992	3765818
893	10966312	3753570
894	10978499	3741276
895	10990410	3728889
896	11002689	3716627
897	11014834	3704320
898	11027400	3692155
899	11039599	3679866
900	11052016	3667650
901	11064191	3655353
902	11076341	3643049
903	11088519	3630754
904	11100687	3618456
905	11113029	3606214
906	11125220	3593924
907	11137348	3581614
908	11149660	3569363
909	11161876	3557081
910	11174225	3544842
911	11186435	3532558
912	11198669	3520282
913	11210926	3508014
914	11223352	3495798
915	11235691	3483555
916	11248132	3471342
917	11260415	3459082
918	11272854	3446868
919	11285111	3434599
920	11297433	3422349
921	11309609	3410055
922	11321996	3397825
923	11334270	3385561
924	11346626	3373321
925	11358828	3361035
926	11371115	3348775
927	11383321	3336490
928	11395631	3324237
929	11407875	3311963
930	11420093	3299683
931	11432448	3287442
932	11444621	3275148
933	11456895	3262884
934	11469077	3250594
935	11481277	3238309
936	11493539	3226041
937	11505763	3213763
938	11517875	3201454
939	11530067	3189167
940	11542604	3176976
941	11554780	3164685
942	11567183	3152456
943	11579571	3140222
944	11591949	3127986
945	11604216	3115719
946	11616368	3103422
947	11628240	3091051
948	11640359	3078746
949	11652522	3066453
950	11664734	3054173
951	11676880	3041876
952	11689182	3029620
953	11701520	3017373
954	11713790	3005108
955	11726177	2992873
956	11738463	2980612
957	11750753	2968353
958	11763035	2956091
959	11775300	2943825
960	11787560	2931557
961	11799842	2919295
962	11812086	2907024
963	11824305	2894746
964	11836595	2882486
965	11849096	2870277
966	11861463	2858036
967	11873454	2845704
968	11885678	2833427
969	11898017	2821179
970	11910067	2808862
971	11922304	2796589
972	11934508	2784309
973	11946809	2772052
974	11959168	2759808
975	11971418	2747538
976	11983573	2735247
977	11995754	2722962
978	12007880	2710665
979	12020091	2698387
980	12032468	2686147
981	12044741	2673883
982	12056915	2661597
983	12069173	2649330
984	12081431	2637063
985	12093572	2624771
986	12105724	2612481
